week_num,plot_id,alert_count,days_observed,action_count,avg_delay,max_delay,avg_stress,max_stress,avg_delta,same_day_actions,delayed_actions,alert_rate,action_rate,response_gap,delay_score,urgency_score,urgency_100,rank,crop,treatment,greenhouse_id,farm_id,season_roi,precision_benefit_cad,season_profit_cad,season_yield_kg_m2,marketable_ratio,verdict
7,P0001,1,2,1,0.5,1,0.5101411966727725,0.5623945897406732,-0.004842098,1,1,0.5,1.0,0.0,0.25,0.38745783589626925,52.3,32,Strawberry,Low N,GH003,F08,0.524856889497287,341.779334081686,525.814360125671,4.15652718979129,0.861321690984907,Acting & Working
7,P0002,1,2,1,0.0,0,0.5076700355528514,0.5519167104977517,-0.08,2,0,0.5,1.0,0.0,0.0,0.3457666841991007,46.7,67,Strawberry,Shade,GH013,F08,0.287984903646003,222.112256638321,341.711164058956,4.37932800911927,0.860303423217187,Acting & Working
7,P0003,0,2,0,0.0,0,0.4861580124507161,0.4899042301434354,0.0,2,0,0.0,0.0,1.0,0.0,0.3959616920573742,53.5,23,Strawberry,Shade,GH003,F08,0.399296841304606,354.129136854702,544.814056699541,5.37275515677355,0.904686135086969,Monitor
7,P0004,0,2,0,0.0,0,0.43659624945031594,0.5271202587564207,0.0,2,0,0.0,0.0,1.0,0.0,0.4108481035025683,55.5,11,Tomato,Integrated Pest,GH002,F01,-0.161505764862522,0.0,-203.599696622431,9.74638465147957,0.913070694678013,Monitor
7,P0005,0,2,0,0.0,0,0.3430331795564435,0.343255456112887,0.0,2,0,0.0,0.0,1.0,0.0,0.3373021824451548,45.6,73,Tomato,High N,GH004,F01,0.463783913825333,526.723889857584,810.344445934745,10.2721385397839,0.878086265442566,Monitor
7,P0006,0,2,0,0.0,0,0.3603148466366545,0.3606171079542398,0.0,2,0,0.0,0.0,1.0,0.0,0.34424684318169596,46.5,68,Strawberry,High N,GH008,F05,0.574844328932162,551.530617832617,848.508642819411,5.74626227475435,0.865216932572168,Monitor
7,P0007,1,2,1,1.0,2,0.47597659792268376,0.5654023861159962,-0.017507506,1,1,0.5,1.0,0.0,0.5,0.4261609544463985,57.6,5,Strawberry,Control,GH008,F05,0.368264914551657,250.165685814606,384.870285868625,4.61812181217741,0.910548952206912,Acting & Working
7,P0008,1,2,1,0.5,1,0.47388126351565246,0.5682496870401331,0.0301632105,1,1,0.5,1.0,0.0,0.25,0.38979987481605327,52.7,29,Strawberry,Integrated Pest,GH009,F06,0.451819686177885,500.030430300054,769.277585077006,5.67517133224618,0.932349368777217,Act + Review
7,P0009,0,2,0,0.0,0,0.3103739716393546,0.3347391260454239,0.0,2,0,0.0,0.0,1.0,0.0,0.3338956504181696,45.1,76,Strawberry,Integrated Pest,GH018,F06,0.388218908095788,454.783516425772,699.666948347342,5.16004272930051,0.872025623479117,Monitor
7,P0010,0,2,0,0.0,0,0.3319757598763615,0.3535842020538959,0.0,2,0,0.0,0.0,1.0,0.0,0.34143368082155834,46.1,70,Strawberry,High N,GH013,F08,0.569836501232389,720.332111825839,1108.20324896283,5.20656653030462,0.870578552320923,Monitor
7,P0011,1,2,1,0.0,0,0.508820147772088,0.5528206571609692,-0.012678908,2,0,0.5,1.0,0.0,0.0,0.3461282628643877,46.8,66,Strawberry,Shade,GH009,F06,0.358223738425133,262.039320112434,403.13741555759,4.65830039120227,0.973685868254822,Acting & Working
7,P0012,0,2,0,0.0,0,0.4090592892334099,0.411680909,0.0,2,0,0.0,0.0,1.0,0.0,0.3646723636,49.3,50,Strawberry,Control,GH017,F08,0.437756636241149,484.109062942865,744.783173758253,4.08444175608863,0.941485010782994,Monitor
7,P0013,0,2,0,0.0,0,0.42757363900201084,0.4782363231130448,0.0,2,0,0.0,0.0,1.0,0.0,0.39129452924521796,52.9,27,Strawberry,High Light,GH008,F05,1.2,1405.05918172332,2161.62951034356,6.215299662461,0.844807158756211,Monitor
7,P0014,0,2,0,0.0,0,0.42413277070880306,0.4993437364176061,0.0,2,0,0.0,0.0,1.0,0.0,0.39973749456704244,54.0,19,Strawberry,High Light,GH019,F08,0.322378716098348,278.611557651202,428.633165617233,5.09734619489553,0.977426384786829,Monitor
7,P0015,1,2,1,0.0,0,0.5347004380632004,0.6249677654435598,-0.0599340295,2,0,0.5,1.0,0.0,0.0,0.3749871061774239,50.7,44,Pepper,Low N,GH001,F02,0.39697658043991,300.964189566065,463.021830101638,6.77516165179568,0.841189463280864,Acting & Working
7,P0016,0,2,0,0.0,0,0.3457905105367648,0.3703542123543338,0.0,2,0,0.0,0.0,1.0,0.0,0.34814168494173353,47.0,64,Strawberry,High N,GH019,F08,0.573744070357076,561.187205893806,863.364932144317,5.48179267431187,0.877094663431181,Monitor
7,P0017,1,2,0,0.0,0,0.5524231417449655,0.6321984905581709,0.0,2,0,0.5,0.0,1.0,0.0,0.5778793962232684,78.1,2,Tomato,Reduced Pest,GH004,F01,0.388706381056141,453.767033352578,698.103128234735,10.1892198477773,0.968425381214844,Monitor
7,P0018,0,2,0,0.0,0,0.474597777982421,0.4869576780583026,0.0,2,0,0.0,0.0,1.0,0.0,0.39478307122332107,53.3,25,Strawberry,Reduced Pest,GH013,F08,0.410618579623795,295.536322288319,454.671265058953,4.75401835172491,0.851254280294572,Monitor
